Date,Price
12-01-1995,908.53
01-01-1996,848.42
02-01-1996,992.51
03-01-1996,985.30
04-01-1996,1114.36
05-01-1996,1089.92
06-01-1996,1122.00
07-01-1996,1042.81
08-01-1996,1029.00
09-01-1996,943.96
10-01-1996,909.29
11-01-1996,830.32
12-01-1996,899.10
01-01-1997,972.65
02-01-1997,998.65
03-01-1997,968.30
04-01-1997,1079.85
05-01-1997,1050.90
06-01-1997,1192.40
07-01-1997,1221.50
08-01-1997,1105.00
09-01-1997,1123.80
10-01-1997,1085.25
11-01-1997,1023.95
12-01-1997,1079.40
01-01-1998,963.45
02-01-1998,1060.75
03-01-1998,1116.90
04-01-1998,1159.35
05-01-1998,1063.15
06-01-1998,941.65
07-01-1998,931.40
08-01-1998,852.80
09-01-1998,904.95
10-01-1998,824.55
11-01-1998,817.75
12-01-1998,884.25
01-01-1999,966.20
02-01-1999,981.30
03-01-1999,1078.05
04-01-1999,978.20
05-01-1999,1132.30
06-01-1999,1187.70
07-01-1999,1310.15
08-01-1999,1412.00
09-01-1999,1413.10
10-01-1999,1325.45
11-01-1999,1376.15
12-01-1999,1480.45
01-01-2000,1546.20
02-01-2000,1654.80
03-01-2000,1528.45
04-01-2000,1406.55
05-01-2000,1380.45
06-01-2000,1471.45
07-01-2000,1332.85
08-01-2000,1394.10
09-01-2000,1271.65
10-01-2000,1172.75
11-01-2000,1268.15
12-01-2000,1263.55
01-01-2001,1371.70
02-01-2001,1351.40
03-01-2001,1148.20
04-01-2001,1125.25
05-01-2001,1167.90
06-01-2001,1107.90
07-01-2001,1072.85
08-01-2001,1053.75
09-01-2001,913.85
10-01-2001,971.90
11-01-2001,1067.15
12-01-2001,1059.05
01-01-2002,1075.40
02-01-2002,1142.05
03-01-2002,1129.55
04-01-2002,1084.50
05-01-2002,1028.80
06-01-2002,1057.80
07-01-2002,958.90
08-01-2002,1010.60
09-01-2002,963.15
10-01-2002,951.40
11-01-2002,1050.15
12-01-2002,1093.50
01-01-2003,1041.85
02-01-2003,1063.40
03-01-2003,978.20
04-01-2003,934.05
05-01-2003,1006.80
06-01-2003,1134.15
07-01-2003,1185.85
08-01-2003,1356.55
09-01-2003,1417.10
10-01-2003,1555.90
11-01-2003,1615.25
12-01-2003,1879.75
01-01-2004,1809.75
02-01-2004,1800.30
03-01-2004,1771.90
04-01-2004,1796.10
05-01-2004,1483.60
06-01-2004,1505.60
07-01-2004,1632.30
08-01-2004,1631.75
09-01-2004,1745.50
10-01-2004,1786.90
11-01-2004,1958.80
12-01-2004,2080.50
01-01-2005,2057.60
02-01-2005,2103.25
03-01-2005,2035.65
04-01-2005,1902.50
05-01-2005,2087.55
06-01-2005,2220.60
07-01-2005,2312.30
08-01-2005,2384.65
09-01-2005,2601.40
10-01-2005,2370.95
11-01-2005,2652.25
12-01-2005,2836.55
01-01-2006,3001.10
02-01-2006,3074.70
03-01-2006,3402.55
